Change Component Footprint: Designator=P? Old Footprint=61202021621 New Footprint=61202021621
Change Component Designator: OldDesignator=P? NewDesignator=P1
Added Pin To Net: NetName=+5 Pin=P1-1
Added Pin To Net: NetName=GND Pin=P1-2
Added Pin To Net: NetName=+42 Pin=P1-3
Added Pin To Net: NetName=GND Pin=P1-4
Added Pin To Net: NetName=P_EN Pin=P1-5
Added Pin To Net: NetName=GND Pin=P1-6
Added Pin To Net: NetName=SCL Pin=P1-7
Added Pin To Net: NetName=GND Pin=P1-8
Added Pin To Net: NetName=SDA Pin=P1-9
Added Pin To Net: NetName=GND Pin=P1-10
Added Pin To Net: NetName=GND Pin=P1-12
Added Pin To Net: NetName=Vout_4 Pin=P1-13
Added Pin To Net: NetName=GND Pin=P1-14
Added Pin To Net: NetName=Vout_3 Pin=P1-15
Added Pin To Net: NetName=GND Pin=P1-16
Added Pin To Net: NetName=Vout_2 Pin=P1-17
Added Pin To Net: NetName=GND Pin=P1-18
Added Pin To Net: NetName=Vout_1 Pin=P1-19
Added Pin To Net: NetName=GND Pin=P1-20
